time,p
3.7849,10000.0000000002
3.785,10000.0000000002
3.7851,10000.0000000002
3.7852,10000.0000000002
3.7853,10000.0000000002
3.7854,10000.0000000002
3.7855,10000.0000000001
3.7856,10000.0000000001
3.7857,10000.0000000001
3.7858,10000.0000000001
3.7859,10000.0000000001
3.786,10000.0000000001
3.7861,10000.0000000001
3.7862,10000.0000000001
3.7863,10000.0000000001
3.7864,10000
3.7865,10000
3.7866,10000
3.7867,10000
3.7868,9999.99999999999
3.7869,9999.99999999998
3.787,9999.99999999996
3.7871,9999.99999999995
3.7872,9999.99999999993
3.7873,9999.99999999991
3.7874,9999.99999999989
3.7875,9999.99999999988
3.7876,9999.99999999985
3.7877,9999.99999999983
3.7878,9999.99999999981
3.7879,9999.99999999979
3.788,9999.9999999998
3.7881,9999.99999999978
3.7882,9999.99999999978
3.7883,9999.99999999978
3.7884,9999.99999999978
3.7885,9999.99999999977
3.7886,9999.99999999977
3.7887,9999.99999999976
3.7888,9999.99999999978
3.7889,9999.99999999979
3.789,9999.99999999978
3.7891,9999.9999999998
3.7892,9999.99999999981
3.7893,9999.9999999998
3.7894,9999.99999999981
3.7895,9999.99999999983
3.7896,9999.99999999985
3.7897,9999.99999999986
3.7898,9999.99999999987
3.7899,9999.99999999988
3.79,9999.99999999989
3.7901,9999.9999999999
3.7902,9999.99999999991
3.7903,9999.99999999993
3.7904,9999.99999999993
3.7905,9999.99999999995
3.7906,9999.99999999996
3.7907,9999.99999999997
3.7908,9999.99999999998
3.7909,9999.99999999999
3.791,10000
3.7911,10000
3.7912,10000
3.7913,10000
3.7914,10000.0000000001
3.7915,10000.0000000001
3.7916,10000.0000000001
3.7917,10000.0000000001
3.7918,10000.0000000001
3.7919,10000.0000000002
3.792,10000.0000000002
3.7921,10000.0000000002
3.7922,10000.0000000002
3.7923,10000.0000000002
3.7924,10000.0000000002
3.7925,10000.0000000002
3.7926,10000.0000000002
3.7927,10000.0000000002
3.7928,10000.0000000002
3.7929,10000.0000000002
3.793,10000.0000000002
3.7931,10000.0000000002
3.7932,10000.0000000002
3.7933,10000.0000000002
3.7934,10000.0000000002
3.7935,10000.0000000002
3.7936,10000.0000000002
3.7937,10000.0000000002
3.7938,10000.0000000001
3.7939,10000.0000000001
3.794,10000.0000000001
3.7941,10000.0000000001
3.7942,10000.0000000001
3.7943,10000.0000000001
3.7944,10000.0000000001
3.7945,10000.0000000001
3.7946,10000.0000000001
3.7947,10000
3.7948,10000
3.7949,10000
3.795,10000
3.7951,9999.99999999999
3.7952,9999.99999999998
3.7953,9999.99999999997
3.7954,9999.99999999995
3.7955,9999.99999999993
3.7956,9999.99999999992
3.7957,9999.9999999999
3.7958,9999.99999999988
3.7959,9999.99999999986
3.796,9999.99999999984
3.7961,9999.99999999981
3.7962,9999.9999999998
3.7963,9999.9999999998
3.7964,9999.99999999979
3.7965,9999.99999999979
3.7966,9999.99999999979
3.7967,9999.99999999979
3.7968,9999.99999999979
3.7969,9999.99999999978
3.797,9999.99999999977
3.7971,9999.99999999977
3.7972,9999.99999999979
3.7973,9999.99999999978
3.7974,9999.9999999998
3.7975,9999.99999999981
3.7976,9999.99999999982
3.7977,9999.99999999981
3.7978,9999.99999999983
3.7979,9999.99999999984
3.798,9999.99999999985
3.7981,9999.99999999986
3.7982,9999.99999999988
3.7983,9999.99999999989
3.7984,9999.9999999999
3.7985,9999.99999999991
3.7986,9999.99999999992
3.7987,9999.99999999993
3.7988,9999.99999999994
3.7989,9999.99999999995
3.799,9999.99999999996
3.7991,9999.99999999997
3.7992,9999.99999999998
3.7993,10000
3.7994,10000
3.7995,10000
3.7996,10000
3.7997,10000.0000000001
3.7998,10000.0000000001
3.7999,10000.0000000001
3.8,10000.0000000001
3.8001,10000.0000000001
3.8002,10000.0000000002
3.8003,10000.0000000002
3.8004,10000.0000000002
3.8005,10000.0000000002
3.8006,10000.0000000002
3.8007,10000.0000000002
3.8008,10000.0000000002
3.8009,10000.0000000002
3.801,10000.0000000002
3.8011,10000.0000000002
3.8012,10000.0000000002
3.8013,10000.0000000002
3.8014,10000.0000000002
3.8015,10000.0000000002
3.8016,10000.0000000002
3.8017,10000.0000000002
3.8018,10000.0000000002
3.8019,10000.0000000002
3.802,10000.0000000002
3.8021,10000.0000000002
3.8022,10000.0000000001
3.8023,10000.0000000001
3.8024,10000.0000000001
3.8025,10000.0000000001
3.8026,10000.0000000001
3.8027,10000.0000000001
3.8028,10000.0000000001
3.8029,10000.0000000001
3.803,10000.0000000001
3.8031,10000
3.8032,10000
3.8033,10000
3.8034,10000
3.8035,10000
3.8036,9999.99999999998
3.8037,9999.99999999997
3.8038,9999.99999999995
3.8039,9999.99999999993
3.804,9999.99999999991
3.8041,9999.99999999989
3.8042,9999.99999999988
3.8043,9999.99999999985
3.8044,9999.99999999983
3.8045,9999.99999999981
3.8046,9999.99999999979
3.8047,9999.99999999979
3.8048,9999.99999999978
3.8049,9999.99999999977
3.805,9999.99999999978
3.8051,9999.99999999977
3.8052,9999.99999999977
3.8053,9999.99999999977
3.8054,9999.99999999976
3.8055,9999.99999999978
3.8056,9999.99999999977
3.8057,9999.99999999979
3.8058,9999.9999999998
3.8059,9999.99999999981
3.806,9999.99999999982
3.8061,9999.99999999984
3.8062,9999.99999999983
3.8063,9999.99999999984
3.8064,9999.99999999985
3.8065,9999.99999999986
3.8066,9999.99999999987
3.8067,9999.99999999988
3.8068,9999.9999999999
3.8069,9999.99999999991
3.807,9999.99999999992
3.8071,9999.99999999993
3.8072,9999.99999999994
3.8073,9999.99999999995
3.8074,9999.99999999996
3.8075,9999.99999999998
3.8076,9999.99999999999
3.8077,10000
3.8078,10000
3.8079,10000
3.808,10000
3.8081,10000.0000000001
