time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.097,0.0068,0.0046,-0.9541,0.065,0.8891,-0.046163211413,0.012865042985,0.033298168428,6.8,4.6
11.098,0.0068,0.0046,-0.7066,-0.3381,1.0447,-0.038390938558,-0.005243324405,0.043634262962,6.8,4.6
11.099,0.0068,0.0046,-0.3564,-0.692,1.0484,-0.025036395701,-0.022589208372,0.047625604073,6.8,4.6
11.1,0.0068,0.0046,0.0457,-0.9453,0.8996,-0.008041441859,-0.036650402214,0.044691844073,6.8,4.6
11.101,0.0068,0.0046,0.4411,-1.0611,0.6201,0.01012272811,-0.045382322307,0.035259594197,6.8,4.6
11.102,0.0068,0.0046,0.7723,-1.0227,0.2503,0.026814913785,-0.047515303988,0.020700390203,6.8,4.6
11.103,0.0068,0.0046,0.9913,-0.8355,-0.1558,0.03960795879,-0.042739218177,0.003131259387,6.8,4.6
11.104,0.0068,0.0046,1.0661,-0.5269,-0.5393,0.046641676056,-0.031748564062,-0.014893111994,6.8,4.6
11.105,0.0068,0.0046,0.9859,-0.1416,-0.8444,0.046893330982,-0.016141481882,-0.0307518491,6.8,4.6
11.106,0.0068,0.0046,0.7624,0.2643,-1.0267,0.040326352958,0.001812629932,-0.04213898289,6.8,4.6
11.107,0.0068,0.0046,0.428,0.6317,-1.0597,0.027895651128,0.019503103529,-0.047398754658,6.8,4.6
11.108,0.0068,0.0046,0.0313,0.9073,-0.9386,0.011408761151,0.034357613195,-0.045766374346,6.8,4.6
11.109,0.0068,0.0046,-0.3699,1.0509,-0.681,-0.006736985979,0.044216210602,-0.037479224623,6.8,4.6
11.11,0.0068,0.0046,-0.7173,1.0418,-0.3245,-0.023903055065,0.047645396648,-0.023742341583,6.8,4.6
11.111,0.0068,0.0046,-0.9604,0.8811,0.0793,-0.037593370461,0.044146561966,-0.006553191505,6.8,4.6
11.112,0.0068,0.0046,-1.0639,0.5924,0.4715,-0.045817264964,0.034228486855,0.011588778109,6.8,4.6
11.113,0.0068,0.0046,-1.0127,0.2175,0.7952,-0.047378937409,0.01933335826,0.028045579149,6.8,4.6
11.114,0.0068,0.0046,-0.8142,-0.1891,1.0032,-0.042051329779,0.001627062275,0.040424267504,6.8,4.6
11.115,0.0068,0.0046,-0.4973,-0.5681,1.0654,-0.030609141158,-0.016315754383,0.046924895542,6.8,4.6
11.116,0.0068,0.0046,-0.1081,-0.8645,0.9726,-0.014716178477,-0.031886059612,0.046602238088,6.8,4.6
11.117,0.0068,0.0046,0.2968,-1.0353,0.7385,0.003316576688,-0.042819811017,0.039503234329,6.8,4.6
11.118,0.0068,0.0046,0.6586,-1.0554,0.3969,0.020867005515,-0.047527165647,0.026660160133,6.8,4.6
11.119,0.0068,0.0046,0.9246,-0.9222,-0.0024,0.035383130482,-0.04532365493,0.009940524448,6.8,4.6
11.12,0.0068,0.0046,1.0561,-0.6548,-0.4013,0.044754194201,-0.036529710234,-0.008224483967,6.8,4.6
11.121,0.0068,0.0046,1.0341,-0.2922,-0.7419,0.047617580632,-0.022424067424,-0.025193513209,6.8,4.6
