All calculations,WEC
"Time in s","Power-Phasor, Active Power in MW"
11.0982,0.0079
11.0983,0.0078
11.0984,0.0076
11.0985,0.0075
11.0986,0.0074
11.0987,0.0073
11.0988,0.0071
11.0989,0.0069
11.0990,0.0068
11.0991,0.0080
11.0991,0.0079
11.0992,0.0079
11.0993,0.0078
11.0994,0.0076
11.0995,0.0075
11.0996,0.0074
11.0997,0.0073
11.0998,0.0071
11.0999,0.0069
11.1000,0.0068
11.1001,0.0080
11.1001,0.0079
11.1002,0.0079
11.1003,0.0078
11.1004,0.0076
11.1005,0.0075
11.1006,0.0074
11.1007,0.0073
11.1008,0.0071
11.1009,0.0069
11.1010,0.0068
11.1011,0.0080
11.1011,0.0079
11.1012,0.0079
11.1013,0.0078
11.1014,0.0076
11.1015,0.0075
11.1016,0.0074
11.1017,0.0073
11.1018,0.0071
11.1019,0.0069
11.1020,0.0068
11.1021,0.0080
11.1021,0.0079
11.1022,0.0079
11.1023,0.0078
11.1024,0.0076
11.1025,0.0075
11.1026,0.0074
11.1027,0.0073
11.1028,0.0071
11.1029,0.0069
11.1030,0.0068
11.1031,0.0080
11.1031,0.0079
11.1032,0.0079
11.1033,0.0078
11.1034,0.0076
11.1035,0.0075
11.1036,0.0074
11.1037,0.0073
11.1038,0.0071
11.1039,0.0069
11.1040,0.0068
11.1041,0.0080
11.1041,0.0079
11.1042,0.0079
11.1043,0.0078
11.1044,0.0076
11.1045,0.0075
11.1046,0.0074
11.1047,0.0073
11.1048,0.0071
11.1049,0.0069
11.1050,0.0068
11.1051,0.0080
11.1051,0.0079
11.1052,0.0079
11.1053,0.0078
11.1054,0.0076
11.1055,0.0075
11.1056,0.0074
11.1057,0.0073
11.1058,0.0071
11.1059,0.0069
11.1060,0.0068
11.1061,0.0080
11.1061,0.0079
11.1062,0.0079
11.1063,0.0078
11.1064,0.0076
11.1065,0.0075
11.1066,0.0074
11.1067,0.0073
11.1068,0.0071
11.1069,0.0069
11.1070,0.0068
11.1071,0.0080
11.1071,0.0079
11.1072,0.0079
11.1073,0.0078
11.1074,0.0076
11.1075,0.0075
11.1076,0.0074
11.1077,0.0073
11.1078,0.0071
11.1079,0.0069
11.1080,0.0068
11.1081,0.0080
11.1081,0.0079
11.1082,0.0079
11.1083,0.0078
11.1084,0.0076
11.1085,0.0075
11.1086,0.0074
11.1087,0.0073
11.1088,0.0071
11.1089,0.0069
11.1090,0.0068
11.1091,0.0080
11.1091,0.0079
11.1092,0.0079
11.1093,0.0078
11.1094,0.0076
11.1095,0.0075
11.1096,0.0074
11.1097,0.0073
11.1098,0.0071
11.1099,0.0069
11.1100,0.0068
11.1101,0.0080
11.1101,0.0079
11.1102,0.0079
11.1103,0.0078
11.1104,0.0076
11.1105,0.0075
11.1106,0.0074
11.1107,0.0073
11.1108,0.0071
11.1109,0.0069
11.1110,0.0068
11.1111,0.0080
11.1111,0.0079
11.1112,0.0079
11.1113,0.0078
11.1114,0.0076
11.1115,0.0075
11.1116,0.0074
11.1117,0.0073
11.1118,0.0071
11.1119,0.0069
11.1120,0.0068
11.1121,0.0080
11.1121,0.0079
11.1122,0.0079
11.1123,0.0078
11.1124,0.0076
11.1125,0.0075
11.1126,0.0074
11.1127,0.0073
11.1128,0.0071
11.1129,0.0069
11.1130,0.0068
11.1131,0.0080
11.1131,0.0079
11.1132,0.0079
11.1133,0.0078
11.1134,0.0076
11.1135,0.0075
11.1136,0.0074
11.1137,0.0073
11.1138,0.0071
11.1139,0.0069
11.1140,0.0068
11.1141,0.0080
11.1141,0.0079
11.1142,0.0079
11.1143,0.0078
11.1144,0.0076
11.1145,0.0075
11.1146,0.0074
11.1147,0.0073
11.1148,0.0071
11.1149,0.0069
11.1150,0.0068
11.1151,0.0080
11.1151,0.0079
11.1152,0.0079
11.1153,0.0078
11.1154,0.0076
11.1155,0.0075
11.1156,0.0074
11.1157,0.0073
11.1158,0.0071
11.1159,0.0069
11.1160,0.0068
11.1161,0.0080
11.1161,0.0079
11.1162,0.0079
11.1163,0.0078
11.1164,0.0076
11.1165,0.0075
11.1166,0.0074
11.1167,0.0073
11.1168,0.0071
11.1169,0.0069
11.1170,0.0068
11.1171,0.0080
11.1171,0.0079
11.1172,0.0079
11.1173,0.0078
11.1174,0.0076
11.1175,0.0075
11.1176,0.0074
11.1177,0.0073
11.1178,0.0071
11.1179,0.0069
11.1180,0.0068
11.1181,0.0080
11.1181,0.0079
11.1182,0.0079
11.1183,0.0078
11.1184,0.0076
11.1185,0.0075
11.1186,0.0074
11.1187,0.0073
11.1188,0.0071
11.1189,0.0069
11.1190,0.0068
11.1191,0.0080
11.1191,0.0079
11.1192,0.0079
11.1193,0.0078
11.1194,0.0076
11.1195,0.0075
11.1196,0.0074
11.1197,0.0073
11.1198,0.0071
11.1199,0.0069
11.1200,0.0068
11.1201,0.0080
11.1201,0.0079
11.1202,0.0079
11.1203,0.0078
11.1204,0.0076
11.1205,0.0075
11.1206,0.0074
11.1207,0.0073
11.1208,0.0071
11.1209,0.0069
11.1210,0.0068
11.1211,0.0080
11.1211,0.0079
11.1212,0.0079
11.1213,0.0078
11.1214,0.0076
11.1215,0.0075
11.1216,0.0074
11.1217,0.0073
11.1218,0.0071
11.1219,0.0069
11.1220,0.0068
11.1221,0.0080
11.1221,0.0079
11.1222,0.0079
11.1223,0.0078
11.1224,0.0076
11.1225,0.0075
11.1226,0.0074
11.1227,0.0073
11.1228,0.0071
11.1229,0.0069
11.1230,0.0068
11.1231,0.0080
11.1231,0.0079
11.1232,0.0079
11.1233,0.0078
11.1234,0.0076
11.1235,0.0075
11.1236,0.0074
11.1237,0.0073
11.1238,0.0071
11.1239,0.0069
11.1240,0.0068
11.1241,0.0080
11.1241,0.0079
11.1242,0.0079
11.1243,0.0078
11.1244,0.0076
11.1245,0.0075
11.1246,0.0074
11.1247,0.0073
11.1248,0.0071
11.1249,0.0069
11.1250,0.0068
11.1251,0.0080
11.1251,0.0079
11.1252,0.0079
11.1253,0.0078
11.1254,0.0076
11.1255,0.0075
11.1256,0.0074
11.1257,0.0073
11.1258,0.0071
11.1259,0.0069
11.1260,0.0068
