All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0428,-0.1010,0.9695,-0.8686
11.0429,-0.1416,0.9859,-0.8442
11.0430,-0.1750,0.9982,-0.8232
11.0431,-0.1952,1.0050,-0.8098
11.0431,-0.2221,1.0136,-0.7915
11.0432,-0.2619,1.0254,-0.7635
11.0433,-0.3014,1.0358,-0.7345
11.0434,-0.3403,1.0447,-0.7044
11.0435,-0.3789,1.0521,-0.6733
11.0436,-0.4169,1.0580,-0.6412
11.0437,-0.4542,1.0623,-0.6081
11.0438,-0.4909,1.0650,-0.5741
11.0439,-0.5268,1.0660,-0.5392
11.0440,-0.5559,1.0657,-0.5098
11.0441,-0.5732,1.0647,-0.4915
11.0441,-0.5960,1.0630,-0.4669
11.0442,-0.6295,1.0593,-0.4298
11.0443,-0.6620,1.0541,-0.3921
11.0444,-0.6936,1.0475,-0.3539
11.0445,-0.7242,1.0393,-0.3151
11.0446,-0.7538,1.0296,-0.2758
11.0447,-0.7822,1.0183,-0.2361
11.0448,-0.8094,1.0055,-0.1961
11.0449,-0.8355,0.9912,-0.1557
11.0450,-0.8560,0.9783,-0.1223
11.0451,-0.8679,0.9697,-0.1018
11.0451,-0.8833,0.9578,-0.0744
11.0452,-0.9056,0.9391,-0.0336
11.0453,-0.9265,0.9192,0.0073
11.0454,-0.9460,0.8979,0.0481
11.0455,-0.9643,0.8753,0.0890
11.0456,-0.9811,0.8514,0.1297
11.0457,-0.9964,0.8263,0.1701
11.0458,-1.0102,0.7999,0.2104
11.0459,-1.0226,0.7722,0.2503
11.0460,-1.0316,0.7486,0.2830
11.0461,-1.0363,0.7336,0.3027
11.0461,-1.0422,0.7133,0.3289
11.0462,-1.0499,0.6824,0.3675
11.0463,-1.0562,0.6505,0.4056
11.0464,-1.0609,0.6178,0.4431
11.0465,-1.0641,0.5841,0.4800
11.0466,-1.0658,0.5495,0.5163
11.0467,-1.0658,0.5141,0.5517
11.0468,-1.0642,0.4779,0.5863
11.0469,-1.0610,0.4410,0.6200
11.0470,-1.0572,0.4101,0.6471
11.0471,-1.0541,0.3909,0.6632
11.0471,-1.0495,0.3652,0.6844
11.0472,-1.0417,0.3265,0.7152
11.0473,-1.0323,0.2873,0.7450
11.0474,-1.0215,0.2478,0.7737
11.0475,-1.0092,0.2079,0.8013
11.0476,-0.9955,0.1676,0.8278
11.0477,-0.9802,0.1272,0.8530
11.0478,-0.9634,0.0865,0.8769
11.0479,-0.9452,0.0456,0.8996
11.0480,-0.9291,0.0119,0.9172
11.0481,-0.9186,-0.0087,0.9273
11.0481,-0.9042,-0.0361,0.9403
11.0482,-0.8819,-0.0770,0.9589
